#{"t_start": 1764660792.2446072, "env_id": "None"}
r,l,t
0.99608606,3,1.903944
0.99412334,4,1.95819
-38.903553,48,3.207961
-90.21688,100,4.527923
-198.57152,210,7.45434
-243.0,256,8.696133
-229.0,256,8.696197
-251.0,256,8.69621
-238.0,256,8.696219
-250.0,256,8.696228
-240.0,256,8.696235
-231.0,256,8.696243
-229.0,256,8.696251
-247.0,256,8.696258
-238.0,256,8.696265
-251.0,256,8.696272
-239.0,256,8.696279
-223.0,256,8.696286
-233.0,256,8.696293
-224.0,256,8.6963
-238.0,256,8.696306
-247.0,256,8.696313
-230.0,256,8.69632
-210.0,256,8.696327
-248.0,256,8.696333
-234.0,256,8.69634
-247.0,256,8.696347
-238.0,256,8.696354
-234.0,256,8.696361
-244.0,256,8.696367
-234.0,256,8.696374
-240.0,256,8.696381
-241.0,256,8.696387
-214.0,256,8.828251
0.99412334,4,8.828321
0.9802742,11,9.045386
0.97827977,12,9.086418
-248.0,256,10.153951
-231.0,256,11.495828
-130.30684,134,12.428963
-238.0,256,14.445265
-230.0,256,15.739024
-238.0,256,15.739076
-242.0,256,15.739088
-245.0,256,15.739096
-237.0,256,15.739104
-231.0,256,15.739111
-246.0,256,15.739118
-244.0,256,15.739126
-234.0,256,15.739133
-247.0,256,15.73914
-240.0,256,15.739148
-241.0,256,15.739155
-248.0,256,15.73917
-232.0,256,15.739177
-235.0,256,15.739184
-235.0,256,15.739192
-240.0,256,15.739199
-242.0,256,15.739206
-237.0,256,15.739214
-250.0,256,15.739221
-231.0,256,15.739232
-232.0,256,15.739245
-243.0,256,15.739257
-243.0,256,15.739269
-0.99608606,3,15.840672
-235.0,256,15.893759
-210.0,256,15.893809
-234.0,256,16.105925
-221.0,256,16.146401
-229.0,256,17.226302
-249.0,256,18.532311
-88.780624,101,18.578866
-227.7835,245,19.20244
-223.0,256,21.530109
-230.0,256,22.765898
-250.0,256,22.765957
-230.0,256,22.765972
-235.0,256,22.765983
-239.0,256,22.765992
-241.0,256,22.766001
-248.0,256,22.766009
-234.0,256,22.766019
-242.0,256,22.766027
-223.0,256,22.766036
-241.0,256,22.766045
-241.0,256,22.766053
-234.0,256,22.766062
-245.0,256,22.76607
-232.0,256,22.766079
-235.0,256,22.766088
-235.0,256,22.766096
-233.0,256,22.766105
-249.0,256,22.766113
-210.0,256,22.766121
-236.0,256,22.766131
-216.0,256,22.766139
-0.99608606,3,22.865124
-243.0,256,22.86518
-227.0,256,22.913105
-238.0,256,22.913154
0.99215674,5,22.958298
0.98623335,8,23.052034
-243.0,256,23.154132
-240.0,256,23.202488
-232.0,256,24.312931
-66.833855,79,25.081739
-243.0,256,25.620247
-241.0,256,25.65484
-100.72887,121,26.214652
-231.0,256,26.29057
-237.0,256,28.626431
-230.0,256,29.884572
-250.0,256,29.884643
-244.0,256,29.884662
-234.0,256,29.884677
-240.0,256,29.88469
-237.0,256,29.884703
-244.0,256,29.884715
-233.0,256,29.884727
-230.0,256,29.884739
-250.0,256,29.884753
-242.0,256,29.884767
-245.0,256,29.884779
-242.0,256,29.884791
-234.0,256,29.884803
-243.0,256,29.884815
-234.0,256,29.884827
-241.0,256,29.884839
-236.0,256,29.983567
-249.0,256,29.983619
-241.0,256,30.040645
-248.0,256,30.040693
-246.0,256,30.086285
-248.0,256,30.198234
-235.0,256,30.301342
-0.97827977,12,30.35454
-239.0,256,30.354606
-227.0,256,31.429361
-52.15221,73,32.041717
-247.0,256,32.222494
-85.802826,92,32.572034
-238.0,256,32.783565
-230.0,256,32.832082
-237.0,256,33.381601
-242.0,256,33.460246
-135.63431,154,34.283658
-249.0,256,35.72938
-233.0,256,36.958075
-242.0,256,36.95812
-245.0,256,36.958132
-245.0,256,36.95814
-244.0,256,36.958147
-220.0,256,36.958155
-246.0,256,36.95817
-230.0,256,36.958179
-210.0,256,36.958186
-239.0,256,36.958193
-240.0,256,36.9582
-239.0,256,36.958207
-237.0,256,36.958214
-254.0,256,37.07167
-236.0,256,37.071713
-238.0,256,37.12119
-242.0,256,37.121256
-242.0,256,37.167089
-242.0,256,37.293419
-237.0,256,37.407007
-242.0,256,37.461717
-233.0,256,37.461793
0.96824586,17,37.624024
-246.0,256,38.525185
-234.0,256,39.148993
-222.0,256,39.33605
-240.0,256,39.722168
-232.0,256,39.984794
-230.0,256,40.030551
-93.780624,101,40.382797
-242.0,256,40.611983
-240.0,256,40.687341
-240.0,256,41.582485
-84.8149,87,42.514589
-0.99215674,5,42.669029
-236.0,256,43.131495
-120.315346,137,43.30836
-207.36975,222,43.493216
-239.0,256,44.484565
-235.0,256,44.484612
-229.0,256,44.484622
-220.0,256,44.484628
-233.0,256,44.484635
-224.0,256,44.484641
-219.0,256,44.484647
-241.0,256,44.484652
-229.0,256,44.484658
-238.0,256,44.484663
-247.0,256,44.484669
-212.0,256,44.588607
-246.0,256,44.588671
-241.0,256,44.634309
-234.0,256,44.634356
-235.0,256,44.681622
-229.0,256,44.772616
-239.0,256,44.875551
-241.0,256,44.922242
-232.0,256,45.080147
-237.0,256,46.000272
-0.98623335,8,46.235136
-186.51993,198,46.376047
-243.0,256,46.673443
-230.0,256,47.237222
-80.80768,90,47.283683
-240.0,256,47.502595
-236.0,256,47.86786
-0.9822646,10,48.19638
-236.0,256,48.196449
0.9702609,16,48.678323
-243.0,256,49.104236
-227.0,256,50.165202
-239.0,256,50.602224
-239.0,256,50.782683
-0.98425096,9,50.892356
-245.0,256,51.001493
-234.0,256,51.935894
-235.0,256,51.935943
-235.0,256,51.935953
-250.0,256,51.935962
-245.0,256,51.93597
-235.0,256,51.935978
-245.0,256,51.935985
-232.0,256,51.935993
-235.0,256,51.936001
-245.0,256,51.936008
-243.0,256,51.936019
-245.0,256,52.03548
-244.0,256,52.081817
-244.0,256,52.081867
-244.0,256,52.13569
-248.0,256,52.245397
0.99608606,3,52.245461
-231.0,256,52.349624
0.9802742,11,52.349673
-228.0,256,52.39738
-247.0,256,52.556125
-235.0,256,53.684194
-232.0,256,53.826913
-250.0,256,54.111953
-243.0,256,54.616185
-241.82323,249,54.668963
-245.0,256,54.669031
-234.0,256,55.518241
-250.0,256,55.979729
0.97827977,12,56.354447
-250.0,256,56.479365
-235.0,256,57.527888
-231.0,256,58.15854
-238.0,256,58.268686
-220.0,256,58.377581
-217.0,256,59.347472
-225.0,256,59.347518
-252.0,256,59.347529
-243.0,256,59.347536
